whiskey,reviews,average,std_dev,type,brand,dist,owner,lat,lng,zoom
Laphroaig Triplewood,40,85.98,5.07,Scotch (Islay),Laphroaig,Laphroaig,Beam Suntory,55.630008,-6.15229,17
Larceny Small Batch Bourbon,26,78.92,6.32,Bourbon,Larceny,Heaven Hill,Heaven Hill,37.794984,-85.463799,17
Ledaig 10,48,81.83,8.91,Scotch (Islands),Ledaig,Tobermory,Distell Group,56.620789,-6.069983,17
Ledaig 18,10,79.3,12.43,Scotch (Islands),Ledaig,Tobermory,Distell Group,56.620789,-6.069983,17
Ledaig 7 /r/Scotch Community Cask,19,84.16,5.82,Scotch (Islands),Ledaig,Tobermory,Distell Group,56.620789,-6.069983,17
Longrow 10,11,87.45,3.08,Scotch (Campbeltown),Longrow,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Longrow Peated,40,83.85,4.02,Scotch (Campbeltown),Longrow,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Longrow Red 11 Australian Shiraz,16,87.94,3.3,Scotch (Campbeltown),Longrow,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Longrow Red 11 Cabernet Sauvignon,12,86.67,5.26,Scotch (Campbeltown),Longrow,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Longrow Red 11 Fresh Port Cask,29,89.52,2.63,Scotch (Campbeltown),Longrow,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Longrow Red 12 Fresh Pinot Noir Cask,14,85.36,4.33,Scotch (Campbeltown),Longrow,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Longrow Red 13 Malbec,14,86.5,2.5,Scotch (Campbeltown),Longrow,Springbank,J & A Mitchell & Company,55.425461,-5.608698,17
Lot No. 40,26,82.58,8.47,Canadian Whisky,Lot No. 40,Hiram Walker & Sons,Pernod Ricard,42.326855,-83.006842,17
Macallan 10 Fine Oak,37,80.95,6.32,Scotch (Speyside),Macallan,Macallan,Edrington,57.483652,-3.208491,17
Macallan 12,19,82.32,6.14,Scotch (Speyside),Macallan,Macallan,Edrington,57.483652,-3.208491,17
Macallan 12 Double Cask,12,80.83,5.39,Scotch (Speyside),Macallan,Macallan,Edrington,57.483652,-3.208491,17
Macallan 12 Sherry,93,82.56,6.27,Scotch (Speyside),Macallan,Macallan,Edrington,57.483652,-3.208491,17
Macallan 15 Fine Oak,26,85.33,4.37,Scotch (Speyside),Macallan,Macallan,Edrington,57.483652,-3.208491,17
Macallan 17 Fine Oak,9,87.22,7.6,Scotch (Speyside),Macallan,Macallan,Edrington,57.483652,-3.208491,17
Macallan 18,10,88.2,3.22,Scotch (Speyside),Macallan,Macallan,Edrington,57.483652,-3.208491,17
Macallan 18 Sherry,31,89.16,5.01,Scotch (Speyside),Macallan,Macallan,Edrington,57.483652,-3.208491,17
Macallan 25 Sherry,11,89.55,5.03,Scotch (Speyside),Macallan,Macallan,Edrington,57.483652,-3.208491,17
Macallan Classic Cut 2017,9,81.56,4.8,Scotch (Speyside),Macallan,Macallan,Edrington,57.483652,-3.208491,17
Macallan Edition No. 2,19,85.95,6.54,Scotch (Speyside),Macallan,Macallan,Edrington,57.483652,-3.208491,17
Macallan Gold,15,70.53,5.8,Scotch (Speyside),Macallan,Macallan,Edrington,57.483652,-3.208491,17
Macallan Rare Cask,18,75.67,11.1,Scotch (Speyside),Macallan,Macallan,Edrington,57.483652,-3.208491,17
Macallan Select Oak,15,79.0,7.83,Scotch (Speyside),Macallan,Macallan,Edrington,57.483652,-3.208491,17
Macallan Sherry Cask Strength,72,91.31,4.39,Scotch (Speyside),Macallan,Macallan,Edrington,57.483652,-3.208491,17
Mackinlay's Shackleton Rare Old Highland Malt Whisky,17,84.41,4.15,Scotch (Blend),Shackleton,Blended (Scotch),Whyte & Mackay,56.745487,-4.242247,7
Maker's Mark,47,78.87,7.15,Bourbon,Maker's Mark,Jim Beam,Beam Suntory,37.929228,-85.652782,17
Maker's Mark 46,27,84.19,5.34,Bourbon,Maker's Mark,Jim Beam,Beam Suntory,37.929228,-85.652782,17
Maker's Mark Cask Strength,49,83.88,6.74,Bourbon,Maker's Mark,Jim Beam,Beam Suntory,37.929228,-85.652782,17
McClelland Islay,19,62.89,17.42,Scotch (Islay),McClelland's,Blended (Scotch),Beam Suntory,56.745487,-4.242247,7
Mellow Corn,19,74.11,6.7,American Whiskey,Mellow Corn,Heaven Hill,Heaven Hill,37.794984,-85.463799,17
Michel Couvreur 12 Overaged Malt Whiskey,11,82.45,4.46,World,Michel Couvreur,Blended (Scotch),Michel Couvreur,56.745487,-4.242247,7
Michter's 10 Bourbon,22,84.91,7.5,Bourbon,Michter's,Michter's,Michter's,38.214864,-85.788174,17
Michter's 10 Rye,9,86.56,4.82,Rye,Michter's,Michter's,Michter's,38.214864,-85.788174,17
Michter's Barrel Strength Rye,20,86.2,4.12,Rye,Michter's,Michter's,Michter's,38.214864,-85.788174,17
Millstone 100 Rye,8,81.0,4.28,World,Millstone,Zuidam,Zuidam,51.444674,4.939071,17
Monkey Shoulder,46,76.57,10.22,Scotch (Blend),Monkey Shoulder,Blended (Scotch),William Grant & Sons,56.745487,-4.242247,7
Mortlach 15 Gordon & MacPhail,13,84.77,6.18,Scotch (Speyside),Mortlach,Mortlach,Diageo,57.443044,-3.123186,17
Mortlach Rare Old,11,75.64,9.48,Scotch (Speyside),Mortlach,Mortlach,Diageo,57.443044,-3.123186,17
Nikka Coffey Grain,18,76.06,8.47,Japan,Nikka,Yoichi,Nikka,43.185725,140.789721,17
Nikka Coffey Malt,13,82.31,6.74,Japan,Nikka,Yoichi,Nikka,43.185725,140.789721,17
Nikka Taketsuru 21,12,86.25,4.67,Japan,Nikka,Yoichi,Nikka,43.185725,140.789721,17
Nikka Whisky From The Barrel,39,84.23,5.43,Japan,Nikka,Yoichi,Nikka,43.185725,140.789721,17
Noah's Mill,25,81.32,9.45,Bourbon,Noah's Mill,Willett,Willett,37.78489,-85.461244,17
Oban 14,94,81.87,5.79,Scotch (Highlands),Oban,Oban,Diageo,56.415012,-5.47226,17
