whiskey,Reco_1,Reco_2,Reco_3,Reco_4,Reco_5,Reco_6,Reco_7,Reco_8,Reco_9,Reco_10,Reco_11,Reco_12,Reco_13,Reco_14,Reco_15,Reco_16,Reco_17,Reco_18,Reco_19,Reco_20,Reco_21,Reco_22,Reco_23,Reco_24,Reco_25,Reco_26,Reco_27,Reco_28,Reco_29,Reco_30,Reco_31,Reco_32,Reco_33,Reco_34,Reco_35,Reco_36,Reco_37,Reco_38,Reco_39,Reco_40,Reco_41,Reco_42,Reco_43,Reco_44,Reco_45,Reco_46,Reco_47,Reco_48,Reco_49,Reco_50,TF_Similarity_1,TF_Similarity_2,TF_Similarity_3,TF_Similarity_4,TF_Similarity_5,TF_Similarity_6,TF_Similarity_7,TF_Similarity_8,TF_Similarity_9,TF_Similarity_10,TF_Similarity_11,TF_Similarity_12,TF_Similarity_13,TF_Similarity_14,TF_Similarity_15,TF_Similarity_16,TF_Similarity_17,TF_Similarity_18,TF_Similarity_19,TF_Similarity_20,TF_Similarity_21,TF_Similarity_22,TF_Similarity_23,TF_Similarity_24,TF_Similarity_25,TF_Similarity_26,TF_Similarity_27,TF_Similarity_28,TF_Similarity_29,TF_Similarity_30,TF_Similarity_31,TF_Similarity_32,TF_Similarity_33,TF_Similarity_34,TF_Similarity_35,TF_Similarity_36,TF_Similarity_37,TF_Similarity_38,TF_Similarity_39,TF_Similarity_40,TF_Similarity_41,TF_Similarity_42,TF_Similarity_43,TF_Similarity_44,TF_Similarity_45,TF_Similarity_46,TF_Similarity_47,TF_Similarity_48,TF_Similarity_49,TF_Similarity_50
Glengoyne 17,GlenDronach 15 Revival,Balvenie 12 Doublewood,Glenfarclas 105 Cask Strength,Glenfarclas 12,Aberlour 12 Non Chill Filtered,GlenDronach 12 Original,Arran Amarone Cask Finish,Bunnahabhain 18,Arran 10,Bunnahabhain 12,Glenlivet 18,Aberlour 10,Glenmorangie Lasanta,Glenfiddich 15,Macallan Sherry Cask Strength,Macallan 12 Sherry,Auchentoshan Three Wood,Glenfarclas 15,Dalmore 12,Glenmorangie 18,Glenfarclas 17,Balvenie 17 Doublewood,Aberlour 12 Double Cask Matured,Glenfiddich 18,GlenDronach 21 Parliament,Balvenie 15 Single Barrel Sherry Cask,Yellow Spot,Bruichladdich Black Art 2.2,Glengoyne 21,Glenfarclas 25,Benrinnes 23,Tomatin 12,Deanston 12,Benromach 10,Bruichladdich Black Art 3.1,Oban 14,Michel Couvreur 12 Overaged Malt Whiskey,Dalmore 15,Aberlour A'bunadh batch #45,Highland Park 18,Clynelish 14,Aberlour 16,Bruichladdich Black Art 4.1,Glenfarclas 40,Dalwhinnie 15,Westland Sherry Wood,Amrut Intermediate Sherry,Glenfarclas 10,Macallan 18 Sherry,Springbank 15,0.4062,0.3992,0.3968,0.394,0.3832,0.38,0.3793,0.3633,0.3601,0.3594,0.3581,0.3576,0.3539,0.3536,0.3502,0.3489,0.3487,0.3361,0.3357,0.3343,0.3337,0.3331,0.3312,0.3302,0.3246,0.3237,0.3212,0.3201,0.319,0.3185,0.3166,0.3138,0.3131,0.3112,0.3103,0.3101,0.3091,0.3061,0.3024,0.3024,0.302,0.3018,0.2995,0.2982,0.2981,0.298,0.2979,0.2929,0.2928,0.2926
Black Maple Hill,Blanton's Original Single Barrel,Colonel E.H. Taylor Small Batch,Bulleit Bourbon,Elmer T. Lee,Old Grand Dad 114,Woodford Reserve Distiller's Select,Buffalo Trace,Four Roses Single Barrel,Old Grand Dad 100 Bottled in Bond,Wild Turkey 101,Four Roses Small Batch,Blanton's Straight from the Barrel,High West Bourye,Noah's Mill,Elijah Craig 12,Russell's Reserve Single Barrel Bourbon,Henry McKenna 10 Single Barrel,Wild Turkey Rare Breed,Mellow Corn,George Dickel No. 12,Evan Williams Black Label,Elijah Craig Barrel Proof,Pikesville Rye,Rittenhouse Rye 100,Stagg Jr.,Michter's 10 Bourbon,Orphan Barrel Barterhouse 20,Booker's Bourbon,Four Roses Yellow Label,Basil Hayden's,Colonel E.H. Taylor Barrel Proof,W.L. Weller 12,Evan Williams Single Barrel 2003,Evan Williams White Label Bottled in Bond,WhistlePig 10 Straight Rye,Bulleit Bourbon 10,Parker's Heritage Collection 9th: Malt Whiskey,Jack Daniel's Single Barrel,Willett Family Estate Rye 4y,Willett Family Estate Rye 3y,Wild Turkey 81,Four Roses Single Barrel Private Selection OBSQ,Buffalo Trace White Dog Mash #1,Bulleit Rye,Knob Creek Rye,Eagle Rare 10,Old Weller Antique 107,Four Roses Small Batch Limited Edition 2013 125th Anniversary,Breckenridge Bourbon,1792 Full Proof,0.4633,0.4546,0.4449,0.4435,0.4411,0.44,0.4107,0.4079,0.4031,0.399,0.3916,0.3757,0.3727,0.3721,0.372,0.3667,0.365,0.3525,0.347,0.3443,0.3439,0.3435,0.3399,0.3397,0.3316,0.3301,0.3247,0.321,0.3209,0.3209,0.3191,0.3185,0.3149,0.3108,0.309,0.3064,0.305,0.3043,0.3039,0.3009,0.2997,0.2996,0.2987,0.2987,0.2974,0.297,0.2961,0.2949,0.2936,0.2907
Pig's Nose,Chivas Regal 12,Tomatin 12,Balvenie 12 Doublewood,Johnnie Walker Gold Label,Famous Grouse,Johnnie Walker Black Label,Dewar's 12,Glenlivet 12,Macallan 12 Sherry,Compass Box Great King St. Artist's Blend,Glenfiddich 15,Monkey Shoulder,Johnnie Walker Red Label,Aberlour 10,Glenfarclas 105 Cask Strength,Glenfarclas 12,Glenmorangie 10 Original,Glenfiddich 12,Dewar's White Label,Black Bottle,Dalmore 12,Glenfiddich 18,Black Grouse,Glenlivet 18,Aberlour 12 Double Cask Matured,Compass Box Great King St. Glasgow Blend,Glenmorangie Lasanta,GlenDronach 12 Original,Cutty Sark,Macallan Sherry Cask Strength,Dimple Pinch 15,GlenDronach 15 Revival,Glenfarclas 17,Hibiki Japanese Harmony,Auchentoshan Three Wood,Dalwhinnie 15,Sheep Dip,Aberlour 12 Non Chill Filtered,Cragganmore 12,Glenlivet 15 French Oak Reserve,J&B Rare,Macallan 10 Fine Oak,Glenkinchie 12,Té Bheag,Glenfarclas 25,Johnnie Walker Blue Label,Glenlivet 16 Nadurra,Compass Box Hedonism,Bunnahabhain 12,Jameson,0.362,0.3171,0.3139,0.3137,0.2962,0.2961,0.2942,0.2885,0.2882,0.2867,0.2852,0.2772,0.2725,0.266,0.2624,0.2608,0.2606,0.2571,0.2501,0.25,0.2499,0.249,0.249,0.2486,0.2477,0.245,0.2435,0.2412,0.2412,0.238,0.2371,0.2364,0.2326,0.2321,0.2267,0.2239,0.2235,0.2231,0.2193,0.2186,0.2181,0.2179,0.2149,0.2144,0.2142,0.2142,0.2137,0.2123,0.2119,0.2115
Mellow Corn,George Dickel No. 12,Jack Daniel's Single Barrel,Buffalo Trace White Dog Mash #1,Evan Williams Black Label,Colonel E.H. Taylor Small Batch,Parker's Heritage Collection 9th: Malt Whiskey,Blanton's Original Single Barrel,Black Maple Hill,Wild Turkey 81,Jack Daniel's Old No. 7,Jim Beam White Label,Woodford Reserve Distiller's Select,Evan Williams White Label Bottled in Bond,Rebel Yell 10 Single Barrel,Heaven Hill 6 Bottled in Bond,Noah's Mill,Nikka Coffey Grain,Old Grand Dad 114,Wild Turkey 101,Old Grand Dad 100 Bottled in Bond,Larceny Small Batch Bourbon,Colonel E.H. Taylor Barrel Proof,Balcones Brimstone,Bulleit Bourbon,Buffalo Trace,Henry McKenna 10 Single Barrel,Four Roses Small Batch,W.L. Weller 12,Booker's Bourbon,Old Ezra 101,Elmer T. Lee,Stagg Jr.,Rowan's Creek,Very Old Barton Bottled In Bond,Maker's Mark,Old Weller Antique 107,Rock Hill Farms Single Barrel Bourbon,Michter's 10 Bourbon,Smooth Ambler Old Scout Bourbon 7,Four Roses Yellow Label,Blanton's Straight from the Barrel,Elijah Craig 12,Knob Creek 9 Small Batch,Four Roses Single Barrel,Bushmills Black Bush,Evan Williams Single Barrel 2004,Evan Williams Single Barrel 2003,Eagle Rare 10,Maker's Mark Cask Strength,Elijah Craig Barrel Proof,0.5701,0.4284,0.4091,0.3895,0.3728,0.3528,0.348,0.347,0.3442,0.3415,0.2994,0.2789,0.2743,0.2681,0.2608,0.2594,0.2585,0.2555,0.2493,0.2487,0.2484,0.2173,0.2148,0.2115,0.1984,0.197,0.1901,0.1882,0.1868,0.1844,0.1839,0.1742,0.1709,0.1708,0.1661,0.1634,0.1619,0.1569,0.1411,0.1399,0.1353,0.1348,0.1338,0.1337,0.1331,0.13,0.1299,0.1284,0.1273,0.1216
Jura 16,Oban 14,Highland Park 12,Bruichladdich The Laddie Ten,Bunnahabhain 12,Benromach 10,Lagavulin 12,Springbank 10,Springbank 15,Lagavulin 16,Johnnie Walker Green Label,Ardbeg Uigeadail,Talisker 10,Highland Park 18,Clynelish 14,Laphroaig 10,Dalwhinnie 15,Ledaig 10,Glenmorangie 10 Original,Ardbeg 10,Laphroaig 18,Amrut Fusion,Johnnie Walker Black Label,Ardmore Traditional Cask Peated,Ardbeg Ardbog,Caol Ila 12,Ardbeg Corryvreckan,Bowmore 12,Arran 10,Cragganmore 12,Kilchoman Machir Bay,Bunnahabhain 18,Laphroaig Quarter Cask,Tobermory 10,Jura Superstition,Glenlivet 16 Nadurra,Longrow Peated,Balvenie 12 Doublewood,Bowmore 15 Darkest,AnCnoc 12,Glenfiddich 18,Ardbeg Galileo,Old Pulteney 12,Glenlivet 18,Bruichladdich Port Charlotte Scottish Barley,BenRiach 10 Curiositas,Bunnahabhain Toiteach,Kilchoman Coull Point,Kilkerran 12,Talisker 18,Lagavulin 8,0.4003,0.3891,0.3769,0.3594,0.3519,0.3469,0.3427,0.3357,0.335,0.3285,0.3273,0.3273,0.3259,0.3241,0.322,0.3191,0.319,0.3158,0.3136,0.3122,0.3094,0.3083,0.3057,0.3053,0.3032,0.2982,0.2982,0.2969,0.2966,0.2963,0.2933,0.2925,0.2916,0.2904,0.2879,0.2838,0.2816,0.281,0.2802,0.2801,0.2764,0.2753,0.2738,0.2727,0.2703,0.27,0.2662,0.2637,0.2626,0.2625
1792 Full Proof,Blanton's Straight from the Barrel,Elijah Craig Barrel Proof,Old Grand Dad 114,Colonel E.H. Taylor Barrel Proof,Stagg Jr.,Booker's Bourbon,Wild Turkey Rare Breed,Old Forester 1920,Colonel E.H. Taylor Small Batch,Noah's Mill,Knob Creek Single Barrel Reserve,Parker's Heritage Collection 6th: Blend of Mashbills,Russell's Reserve Single Barrel Bourbon,Elijah Craig 12,Henry McKenna 10 Single Barrel,Wild Turkey 101,Four Roses Single Barrel,Michter's 10 Bourbon,Old Grand Dad 100 Bottled in Bond,Four Roses Small Batch,Elmer T. Lee,Orphan Barrel Barterhouse 20,Evan Williams White Label Bottled in Bond,Blanton's Original Single Barrel,Eagle Rare 10,Knob Creek 9 Small Batch,Bulleit Bourbon,George T. Stagg 2013,Baker's 107,Colonel E.H. Taylor Single Barrel,Four Roses Single Barrel Private Selection OBSQ,Bulleit Bourbon 10,Four Roses Yellow Label,Old Weller Antique 107,1792 Ridgemont Reserve,Willett Family Estate Rye 3y,Black Maple Hill,Booker's Rye,Balvenie 15 Single Barrel,Buffalo Trace,Pikesville Rye,Woodford Reserve Distiller's Select,Old Forester 86,1792 Small Batch,Smooth Ambler Old Scout Rye 8,Elijah Craig 18,Glenlivet 16 Nadurra,Rebel Yell 10 Single Barrel,Evan Williams Single Barrel 2003,Basil Hayden's,0.5592,0.4949,0.4918,0.4848,0.4762,0.4626,0.4537,0.4168,0.4132,0.4117,0.4077,0.3988,0.3915,0.3902,0.3855,0.3686,0.363,0.3612,0.3523,0.349,0.3402,0.3392,0.3335,0.3334,0.3331,0.3239,0.3228,0.3162,0.3131,0.3088,0.3077,0.3016,0.3,0.2966,0.2962,0.2955,0.2907,0.2906,0.2894,0.288,0.2773,0.2767,0.272,0.2717,0.2708,0.2669,0.2657,0.2656,0.2649,0.263
Ardbeg Airigh Nam Beist 1990,Ardbeg 10,Caol Ila 12,Lagavulin 16,Laphroaig 18,Laphroaig Quarter Cask,Kilchoman Machir Bay,Ledaig 10,Talisker 10,Ardbeg Uigeadail,Ardbeg Corryvreckan,Lagavulin 12,Laphroaig 10,Bruichladdich Port Charlotte Scottish Barley,Bowmore 12,Bruichladdich Octomore 6.1,Compass Box Peat Monster,Lagavulin 8,Talisker 57° North,Longrow Peated,Springbank 10,Ardbeg Ardbog,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Ardmore Traditional Cask Peated,Laphroaig 10 Cask Strength,Highland Park 12,Bunnahabhain Toiteach,Ardbeg Galileo,BenRiach 10 Curiositas,Ardbeg Perpetuum,Laphroaig Cairdeas 2015,Laphroaig Triplewood,Talisker 25,Finlaggan Old Reserve,Benromach 10,Bruichladdich Port Charlotte 10,Bruichladdich The Laddie Ten,Laphroaig Cairdeas 2012 Origin,Talisker 18,Balvenie 17 Peated Cask,Kilchoman Loch Gorm,Johnnie Walker Green Label,Laphroaig Cairdeas 2016 Madeira,Laphroaig 15,Bowmore 18,Springbank 15,Laphroaig Cairdeas 2014 Amontillado,Caol Ila 18,Jura Prophecy,Laphroaig Lore,Ardbeg Day,0.7731,0.7728,0.7559,0.743,0.7337,0.7315,0.7274,0.7238,0.7231,0.7154,0.7111,0.7054,0.7045,0.7033,0.7025,0.687,0.6827,0.6648,0.6627,0.6627,0.6613,0.661,0.6573,0.6534,0.6509,0.6502,0.6462,0.6453,0.6337,0.623,0.6123,0.6119,0.6101,0.6018,0.5988,0.5958,0.5928,0.5884,0.5772,0.5764,0.5747,0.5741,0.5734,0.5728,0.5725,0.571,0.5675,0.5658,0.5646,0.5597
Glen Garioch Founder's Reserve,Glenfiddich 12,Glenlivet 12,Glenlivet 16 Nadurra,Glenmorangie 10 Original,Clynelish 14,Oban 14,AnCnoc 12,Monkey Shoulder,Arran 10,Balvenie 12 Doublewood,Balvenie 15 Single Barrel,Glenfiddich 18,Glen Garioch 12,Deanston 12,Dalwhinnie 15,Tobermory 10,Glenlivet 18,Auchentoshan Valinch,Arran 14,Glenkinchie 12,Johnnie Walker Green Label,Bunnahabhain 12,Speyburn 10,Bruichladdich The Laddie Ten,Old Pulteney 12,Tomatin 12,Glenfarclas 12,Macallan 10 Fine Oak,Deanston Virgin Oak,Auchentoshan 12,Benromach 10,Highland Park 12,Glenfarclas 17,Balvenie 12 Single Barrel First Fill,Arran Amarone Cask Finish,Highland Park 18,Springbank 10,Glenfarclas 105 Cask Strength,Glenmorangie Astar,Glenlivet 15 French Oak Reserve,Glenfiddich 15,Springbank 15,Cragganmore 12,Macallan 12 Sherry,Westland Sherry Wood,Glenmorangie 18,Amrut Fusion,Aberfeldy 12,Glengoyne 10,Aberlour 12 Non Chill Filtered,0.3706,0.37,0.356,0.3488,0.3423,0.3377,0.3317,0.3096,0.3053,0.3005,0.2926,0.2921,0.2892,0.2892,0.2886,0.2871,0.2865,0.2856,0.2845,0.2796,0.2708,0.2705,0.2704,0.2692,0.2662,0.2648,0.264,0.2639,0.2615,0.259,0.2566,0.2566,0.2558,0.2553,0.2539,0.2522,0.2516,0.2492,0.2489,0.2473,0.2472,0.2436,0.2426,0.2421,0.241,0.2332,0.233,0.2326,0.2292,0.2289
BenRiach 12 Sherry Matured,GlenDronach 15 Revival,GlenDronach 12 Original,Glenmorangie Lasanta,Macallan Sherry Cask Strength,Glenfarclas 105 Cask Strength,Macallan 12 Sherry,Aberlour 12 Non Chill Filtered,Aberlour 12 Double Cask Matured,Glenfarclas 12,Aberlour A'bunadh batch #45,Balvenie 12 Doublewood,Glenfarclas 17,Aberlour 16,Aberlour A'bunadh batch #47,Aberlour 10,Aberlour A'bunadh batch #46,GlenDronach 21 Parliament,Kavalan Solist Sherry,Glenfarclas 25,Aberlour 18,Glenfarclas 15,Glengoyne 21,Macallan 18 Sherry,Tobermory 15,Benrinnes 23,Auchentoshan Three Wood,Balvenie 17 Doublewood,Tomatin 12,Balvenie 15 Single Barrel Sherry Cask,Bunnahabhain 12,Benrinnes 14 1999 Lady of the Glen,Macallan Edition No. 2,Bruichladdich Black Art 2.2,Glenfarclas 40,Aberlour A'bunadh batch #39,Balvenie Tun 1401 Batch #3,Glenfiddich 15,Macallan 12 Double Cask,Macallan 12,Macallan 15 Fine Oak,Macallan Classic Cut 2017,Glenfarclas 10,Dalmore 12,Bunnahabhain 18,Dalmore 15,Glengoyne 25,Highland Park Dark Origins,Glenfarclas 21,Balblair 1990 2nd Release,Tamdhu 8 Signatory Cask Strength,0.678,0.6691,0.6678,0.6564,0.6524,0.6404,0.6327,0.6205,0.61,0.5981,0.5768,0.5613,0.554,0.5526,0.551,0.5486,0.5477,0.5444,0.5424,0.5254,0.5195,0.5162,0.5049,0.4992,0.4978,0.4964,0.4904,0.487,0.4835,0.4738,0.4694,0.4683,0.4639,0.461,0.4567,0.4551,0.4547,0.4537,0.4501,0.4421,0.4417,0.4414,0.4413,0.4382,0.4311,0.4279,0.4223,0.4195,0.4167,0.4157
Johnnie Walker Platinum Label,Johnnie Walker Blue Label,Johnnie Walker Gold Label,Johnnie Walker Black Label,Johnnie Walker Double Black,Johnnie Walker Green Label,Dewar's 12,Black Bottle,Chivas Regal 12,Benromach 10,Dalwhinnie 15,Johnnie Walker Red Label,Highland Park 12,Buchanan's 12 De Luxe,Springbank 10,Compass Box Great King St. Glasgow Blend,Bowmore 12,Caol Ila 12,Ardbeg 10,Longrow Peated,Black Grouse,Oban 14,Dewar's White Label,Lagavulin 16,J&B Rare,Cutty Sark,Talisker 10,Compass Box Peat Monster,Ardbeg Uigeadail,Glenmorangie 10 Original,Lagavulin 8,Mackinlay's Shackleton Rare Old Highland Malt Whisky,Bruichladdich The Laddie Ten,Cardhu 12,Springbank 15,Lagavulin 12,Highland Park 18,Glenlivet 12,Laphroaig Quarter Cask,Amrut Fusion,Laphroaig 10,AnCnoc 12,Cragganmore 12,Aberfeldy 12,Balvenie 17 Peated Cask,Laphroaig 18,Ledaig 10,Speyburn 10,Ardmore Traditional Cask Peated,Clynelish 14,Finlaggan Old Reserve,0.5628,0.5366,0.525,0.4718,0.4372,0.3718,0.3693,0.3624,0.3465,0.345,0.3438,0.3428,0.328,0.3237,0.3152,0.3096,0.3081,0.3053,0.3013,0.301,0.3003,0.2977,0.2972,0.2943,0.2939,0.2924,0.2888,0.2867,0.2854,0.2844,0.2829,0.2828,0.2799,0.2796,0.2776,0.2773,0.2772,0.2757,0.2756,0.274,0.2721,0.2704,0.2685,0.2658,0.2644,0.2635,0.2596,0.2545,0.2537,0.2525
Laphroaig Cairdeas 2016 Madeira,Lagavulin 16,Laphroaig Quarter Cask,Laphroaig 18,Ardbeg 10,Laphroaig 10,Ardbeg Corryvreckan,Talisker 10,Caol Ila 12,Ardbeg Uigeadail,Lagavulin 12,Ledaig 10,Kilchoman Machir Bay,Laphroaig 10 Cask Strength,Bruichladdich Octomore 6.1,Bowmore 12,Bruichladdich Port Charlotte Scottish Barley,Talisker 57° North,Laphroaig Triplewood,Ardbeg Galileo,Ardbeg Ardbog,Ardmore Traditional Cask Peated,Laphroaig Cairdeas 2015,Lagavulin 8,BenRiach 10 Curiositas,Highland Park 12,Longrow Peated,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Compass Box Peat Monster,Laphroaig Cairdeas 2013 Portwood,Springbank 10,Bunnahabhain Toiteach,Finlaggan Old Reserve,Balvenie 17 Peated Cask,Bruichladdich Port Charlotte 10,Ardbeg Airigh Nam Beist 1990,Laphroaig Cairdeas 2012 Origin,BenRiach 17 Solstice,Laphroaig An Cuan Mor,Bowmore 15 Darkest,Benromach 10,Springbank 15,Talisker 25,Caol Ila Distiller's Edition,Laphroaig Cairdeas 2014 Amontillado,Highland Park 15 Loki,Laphroaig PX Cask,Laphroaig Lore,Bowmore 18,Laphroaig 15,Jura Superstition,0.7382,0.731,0.7241,0.7226,0.7168,0.7163,0.7105,0.6989,0.6973,0.691,0.6715,0.6693,0.669,0.6531,0.6405,0.636,0.6351,0.6343,0.6332,0.6319,0.6293,0.6281,0.6274,0.6202,0.6168,0.6103,0.598,0.5945,0.5926,0.592,0.5889,0.5856,0.5809,0.5742,0.5741,0.5649,0.558,0.5569,0.5553,0.5476,0.546,0.5407,0.5376,0.5367,0.5362,0.5324,0.5309,0.5309,0.53,0.5288
Four Roses Yellow Label,Four Roses Small Batch,Four Roses Single Barrel,Bulleit Bourbon,Colonel E.H. Taylor Small Batch,Blanton's Original Single Barrel,Bulleit Bourbon 10,Elmer T. Lee,Old Grand Dad 114,Buffalo Trace,High West Bourye,Rittenhouse Rye 100,Four Roses Small Batch Limited Edition 2013 125th Anniversary,Blanton's Straight from the Barrel,Wild Turkey 101,Four Roses Single Barrel Private Selection OBSQ,Henry McKenna 10 Single Barrel,Old Grand Dad 100 Bottled in Bond,Bulleit Rye,Woodford Reserve Distiller's Select,Basil Hayden's,Four Roses Single Barrel Private Selection OESK,Pikesville Rye,Russell's Reserve Single Barrel Bourbon,Evan Williams Black Label,WhistlePig 10 Straight Rye,Four Roses Small Batch Limited Edition 2015,Willett Family Estate Rye 4y,Sazerac Rye,Wild Turkey Rare Breed,Colonel E.H. Taylor Straight Rye,Russell's Reserve Single Barrel Rye,Elijah Craig Barrel Proof,Elijah Craig 12,High West Double Rye,Colonel E.H. Taylor Barrel Proof,Four Roses Single Barrel Private Selection OBSK,Michter's Barrel Strength Rye,Thomas H. Handy 2013,Four Roses Small Batch Limited Edition 2014,Michter's 10 Rye,Jefferson's 10 Rye Whiskey,High West Son of Bourye,High West Rendezvous Rye,Old Ezra 101,Angel's Envy Rye,Colonel E.H. Taylor Single Barrel,Eagle Rare 10,Four Roses Single Barrel Private Selection OBSF,Old Forester 86,Smooth Ambler Old Scout Rye 7,0.5802,0.5476,0.5393,0.4638,0.4545,0.4524,0.4487,0.4378,0.4116,0.4115,0.4096,0.4076,0.4071,0.4063,0.404,0.4022,0.401,0.3967,0.3907,0.3872,0.3858,0.3825,0.3776,0.3768,0.3765,0.3745,0.3711,0.3705,0.3655,0.3642,0.3635,0.3632,0.3631,0.3599,0.3591,0.3532,0.3495,0.3462,0.3453,0.3425,0.3383,0.3376,0.3344,0.3343,0.3312,0.3304,0.3296,0.3296,0.3273,0.3256
Amrut Portonova,Glenmorangie 12 Quinta Ruban,Balvenie 21 Portwood,Longrow Red 11 Fresh Port Cask,Laphroaig Cairdeas 2013 Portwood,BenRiach 17 Solstice,Angel's Envy Bourbon,1792 Port Finish,Kilchoman Port Cask Matured,Talisker Port Ruighe,Kavalan Concertmaster,Tomatin 14 Portwood,Ardmore 12 Port Wood Finish,Arran Amarone Cask Finish,Bruichladdich Black Art 2.2,Amrut Intermediate Sherry,Bruichladdich Black Art 3.1,Angel's Envy Cask Strength,Aberlour 12 Non Chill Filtered,High West A Midwinter Nights Dram,Arran Port Cask Finish,Kavalan Solist Vinho Barrique,Glenlivet 16 Nadurra,Longrow Red 11 Australian Shiraz,Arran 10,Longrow Red 12 Fresh Pinot Noir Cask,Bruichladdich Black Art 4.1,GlenDronach 15 Revival,Glenfarclas 105 Cask Strength,Arran 14,Auchentoshan Valinch,BenRiach 12 Importanticus Fumosus,Clynelish 14,Springbank 12 Cask Strength,Glenfarclas 17,Balvenie 17 Doublewood,Amrut Fusion,Bunnahabhain 18,Glenlivet 18,Bruichladdich Port Charlotte 2007 CC:01,Glenfarclas 12,Macallan Sherry Cask Strength,Bunnahabhain 14 Pedro Ximenez Finish,Springbank 10,GlenDronach 12 Original,Springbank 15,Benrinnes 23,Tobermory 15,Balcones Texas Single Malt,Glenfarclas 21,Glenmorangie Astar,0.583,0.464,0.4384,0.393,0.3913,0.3817,0.3802,0.363,0.3516,0.3426,0.3202,0.3187,0.2849,0.2623,0.2614,0.2479,0.2427,0.2421,0.24,0.2279,0.2271,0.215,0.2056,0.2051,0.2023,0.1993,0.1983,0.1897,0.1881,0.1859,0.1847,0.1817,0.1816,0.1799,0.1793,0.179,0.1783,0.1755,0.1739,0.1714,0.1711,0.17,0.1697,0.1693,0.1687,0.1651,0.1648,0.1639,0.1633,0.1626
Balcones Brimstone,Ardbeg Uigeadail,Lagavulin 16,Laphroaig 10,Laphroaig Quarter Cask,Ardbeg 10,Bowmore 12,Talisker 10,Caol Ila 12,Highland Park 12,Lagavulin 12,Bruichladdich Octomore 7.4,Ardbeg Ardbog,Laphroaig 10 Cask Strength,Ardbeg Corryvreckan,Lagavulin 8,Talisker 57° North,Ardbeg Alligator,Benromach 10,Springbank 10,Laphroaig Select,Kilchoman Machir Bay,Laphroaig Cairdeas 2013 Portwood,Johnnie Walker Double Black,Johnnie Walker Black Label,Ledaig 10,Highland Park 18,Ardbeg Perpetuum,Bruichladdich Port Charlotte Scottish Barley,Laphroaig 18,Bruichladdich Octomore 6.1,McClelland Islay,Springbank 15,Bruichladdich Octomore 7.2,Bowmore 15 Laimrig,Bruichladdich Port Charlotte PC7 Sin an Doigh Ileach,Ardbeg An Oa,Bruichladdich Octomore 6.3,Talisker 18,Compass Box No Name,Laphroaig Cairdeas 2012 Origin,Ardbeg Grooves Committee Release,Oban 14,Laphroaig Lore,Ardbeg Airigh Nam Beist 1990,Finlaggan Old Reserve,Compass Box Peat Monster,Ardbeg Day,Kilchoman Sanaig,Laphroaig Cairdeas 2014 Amontillado,Bowmore 18,0.4155,0.4098,0.3921,0.3851,0.3809,0.3709,0.3681,0.3598,0.3537,0.3465,0.3436,0.3384,0.3355,0.3337,0.3313,0.3302,0.3295,0.3199,0.3183,0.3167,0.3158,0.3136,0.3081,0.3081,0.3066,0.3051,0.3046,0.3015,0.2995,0.2954,0.2944,0.2936,0.2932,0.2893,0.2822,0.282,0.2814,0.2812,0.2794,0.2774,0.277,0.2769,0.2768,0.2754,0.2749,0.27,0.2687,0.267,0.2662,0.2646
